model1,,,,,,model1,,,,
0.9254714065,0.9254714065,0.3245471739,0.3306238073,0.3921979699,,0.9275189221,0.9275189221,0.3513381789,0.9275189221,0.9275189221
0.9255738592,0.3379093388,0.3601486876,0.3466214923,0.3836758262,,0.3442050713,0.3973089984,0.9277064814,0.4012286881,0.9277064814
0.3960506262,0.9259574303,0.323249928,0.356646854,0.9259574303,,0.3528325749,0.927953352,0.927953352,0.927953352,0.927953352
0.3582932586,0.3478935833,0.446813253,0.3481415391,,,0.9277191824,0.3277809306,0.4603571507,0.3321455628,0.9277191824
,,,,,,,,,,
0.9254714065,0.9254714065,0.3495729367,0.3467413947,0.3622391948,,0.9275189221,0.9275189221,0.3509614004,0.9275189221,0.9275189221
0.9255738592,0.3746931389,0.351177057,0.3538181034,0.3476167014,,0.3316250428,0.3397737067,0.9277064814,0.3532710955,0.9277064814
0.3457045487,0.9259574303,0.3503689454,0.3761619834,0.9259574303,,0.3765822428,0.927953352,0.927953352,0.927953352,0.927953352
0.3422722346,0.3678456353,0.345112062,0.3567550008,,,0.9277191824,0.3430350448,0.3410405973,0.3427914413,0.9277191824
model2,,,,,,model2,,,,
0.3629411018,0.9254714065,0.9254714065,0.9254714065,0.4079125976,,0.3471836065,0.3841555355,0.9275189221,0.3956443046,0.9275189221
0.9255738592,0.3180807053,0.9255738592,0.3266519995,0.9255738592,,0.9277064814,0.9277064814,0.9277064814,0.9277064814,0.9277064814
0.9259574303,0.9259574303,0.3175950123,0.36547576,0.9259574303,,0.3230925488,0.3301600258,0.3471007935,0.927953352,0.3291255117
0.9258257165,0.3344479461,0.9258257165,0.3444065298,,,0.350623712,0.9277191824,0.9277191824,0.9277191824,0.34387769
,,,,,,,,,,
0.3879583164,0.9254714065,0.9254714065,0.9254714065,0.3441582851,,0.3402415249,0.35133749,0.9275189221,0.3582482689,0.9275189221
0.9255738592,0.3307114255,0.9255738592,0.3523040958,0.9255738592,,0.9277064814,0.9277064814,0.9277064814,0.9277064814,0.9277064814
0.9259574303,0.9259574303,0.3417084522,0.3667272283,0.9259574303,,0.3347399564,0.388319645,0.3553802697,0.927953352,0.3667740867
